Aadolf	アードルフ
Jarkko	ヤルッコ
Jarmo	ヤルモ
Jarno	ヤルノ
Jere	イェレ
Jeremias	イェレミアス
Jesse	イェッセ
Jimi	イミ
Joakim	ヨアキム
Joel	ヨエル
Johannes	ヨハンネス
Joni	ヨニ
Jonne	ヨンネ
Joona	ヨーナ
Joonas	ヨーナス
Joosef	ヨーセフ
Jooseppi	ヨーセッピ
Jorma	ヨルマ
Jouko	ヨウコ
Jouni	ヨウニ
Jousia	ヨウシア
Juha	ユハ
Juhana	ユハナ
Juhani	ユハニ
Juho	ユホ
Jukka	ユッカ
Julius	ユリウス
Jussi	ユッシ
Juuso	ユーソ
Jyri	ユリ
Jyrki	ユルキ
Kaapo	カーポ
Kaappo	カーッポ
Kaapro	カープロ
Kaarle	カールレ
Kaarlo	カールロ
Kai	カイ
Kalervo	カレルヴォ
Kaleva	カレヴァ
Kalevi	カレヴィ
Kalle	カッレ
Kari	カリ
Karri	カッリ
Kauko	カウコ
Kauno	カウノ
Keijo	ケイヨ
Keimo	ケイモ
Kerkko	ケルッコ
Kimmo	キンモ
Klaus	クラウス
Klemetti	クレメッティ
Konstantin	コンスタンティン
Kosti	コスティ
Kristian	クリスティアン
Kuisma	クイスマ
Kullervo	クッレルヴォ
Kustaa	クスター
Kustavi	クスタヴィ
Kusti	クスティ
Kyösti	キュヨスティ、キュオスティ
Lari	ラリ
Lasse	ラッセ
Lassi	ラッシ
Launo	ラウノ
Lauri	ラウリ
Leevi	レーヴィ
Lenni	レンニ
Leo	レオ
Luukas	ルーカス
Lyly	リュリュ
Mainio	マイニオ
Manne	マンネ
Manu	マヌ
Markku	マルック
Marko	マルコ
Markus	マルクス
Martti	マルッティ
Matias	マティアス
Matti	マッティ
Mauno	マウノ
Maunu	マウヌ
Mauri	マウリ
Mies	ミエス
Miika	ミーカ
Miikka	ミーッカ
Mika	ミカ
Mikael	ミカエル
Mikko	ミッコ
Mirka	ミルカ
Miska	ミスカ
Nestori	ネストリ
Niilo	ニーロ
Niko	ニコ
Nikodemus	ニコデムス
Nuutti	ヌーッティ
Nyyrikki	ニューリッキ
Ohto	オホト
Oiva	オイヴァ
Olavi	オラヴィ
Oliver	オリヴェル
Olli	オッリ
Onni	オンニ
Orvo	オルヴォ
Oskari	オスカリ
Osku	オスク
Osmo	オスモ
Ossi	オッシ
Ossian	オッシアン
Otso	オッツォ
Otto	オット
Paavali	パーヴァリ
Paavo	パーヴォ
Päiviö	パイヴィオ
Päivö	パイヴォ
Panu	パヌ
Pasi	パシ
Pauli	パウリ
Pekka	ペッカ
Pekko	ペッコ
Pellervo	ペッレルヴォ
Pentti	ペンッティ
Pertti	ペルッティ
Perttu	ペルットゥ
Petri	ペトリ
Petteri	ペッテリ
Pietari	ピエタリ
Pirkka	ピルッカ
Raafael	ラーファエル
Raimo	ライモ
Raine	ライネ
Raino	ライノ
Rami	ラミ
Rauli	ラウリ
Rauno	ラウノ
Reijo	レイヨ
Reima	レイマ
Reino	レイノ
Reko	レコ
Rikhard	リクハルド
Riku	リク
Risto	リスト
Roope	ローペ
Sakari	サカリ
Saku	サク
Salomo	サロモ
Salomon	サロモン
Sami	サミ
Sampo	サンポ
Sampsa	サンプサ
Samuel	サムエル
Samuli	サムリ
Santeri	サンテリ
Saul	サウル
Sauli	サウリ
Seppo	セッポ
Severi	セヴェリ
Silvo	シルヴォ
Simo	シモ
Sipi	シピ
Sippo	シッポ
Soini	ソイニ
Sulevi	スレヴィ
Sulho	スルホ
Sulo	スロ
Sylvester	シュルヴェステル
Taavetti	ターヴェッティ
Taavi	ターヴィ
Tahvo	タハヴォ
Taisto	タイスト
Taito	タイト
Taneli	タネリ
Tapani	タパニ
Tapio	タピオ
Tarmo	タルモ
Tarvo	タルヴォ
Tatu	タトゥ
Tauno	タウノ
Teemu	テーム
Teijo	テイヨ
Teppo	テッポ
Terho	テルホ
Tero	テロ
Teuvo	テウヴォ
Timo	ティモ
Toimi	トイミ
Toivo	トイヴォ
Tomi	トミ
Tommi	トンミ
Toni	トニ
Topi	トピ
Topias	トピアス
Torsti	トルスティ
Touko	トウコ
Tuomas	トゥオマス
Tuomo	トゥオモ
Turo	トゥロ
Tuukka	トゥーッカ
Tuure	トゥーレ
Ukko	ウッコ
Uljas	ウリヤス
Untamo	ウンタモ
Unto	ウント
Uolevi	ウオレヴィ
Uoti	ウオティ
Urho	ウルホ
Urmas	ウルマス
Urpo	ウルポ
Usko	ウスコ
Uuno	ウーノ
Väinämö	ヴァイナモ
Väinö	ヴァイノ
Valio	ヴァリオ
Valo	ヴァロ
Valto	ヴァルト
Valtteri	ヴァルッテリ
Veijo	ヴェイヨ
Veikko	ヴェイッコ
Veini	ヴェイニ
Veli	ヴェリ
Verneri	ヴェルネリ
Vesa	ヴェサ
Vihtori	ヴィヒトリ
Vilhelm	ヴィルヘルム
Vilho	ヴィルホ
Viljami	ヴィリヤミ
Viljo	ヴィリヨ
Ville	ヴィッレ
Vilppu	ヴィルップ
Visa	ヴィサ
Voitto	ヴォイット
Ylermi	ユレルミ
Yrjänä	ユルヤナ、ウルヤナ
Yrjö	ユルヨ
