Aaron	アーロン
Bacon	ベーコン
Bagehot	バジョット
Bagley	バグリー
Bagwell	バグウェル
Bailey	ベイリー
Baily	ベイリー
Bain	ベイン
Baines	ベインズ
Baird	ベアード
Baker	ベイカー
Balbirnie	バルバーニー
Baldwin	ボールドウィン
Bale	ベイル
Balfe	バルフ
Balfour	バルフォア
Ball	ボール
Ballard	バラード
Balliol	ベイリアル
Bamber	バンバー
Banes	ベインズ
Banfield	バンフィールド
Bankes	バンクス
Banks	バンクス
Bannerman	バナマン
Bannister	バニスター
Bantock	バントック
Barbour	バーバー
Barclay	バークレイ
Baring	ベアリング
Barker	バーカー
Barks	バークス
Barlow	バーロウ
Barlowe	バーロウ
Barnard	バーナード
Barnes	バーンズ
Barnett	バーネット
Barr	バー
Barraclough	バラクロフ
Barrett	バレット
Barrie	バリー
Barrington	バリントン
Barron	バロン
Barry	バリー
Barth	バース
Bartlett	バートレット
Barton	バートン
Baskerville	バスカヴィル
Bassett	バセット
Batchelor	バチェラー
Bates	ベイツ
Bateson	ベイトソン
Battle	バトル
Bax	バックス
Baxter	バクスター、バックスター
Bayly	ベイリー
Beaconsfield	ビーコンズフィールド
Beadon	ビードン
Beale	ビール
Beamont	ビーモント
Bean	ビーン
Beanland	ビーンランド
Beardsley	ベアーズリー、ビアズリー
Beaton	ビートン
Beattie	ビーティー
Beatty	ビーティー
Beaumont	ボーモント
Beck	ベック
Becket	ベケット
Beckett	ベケット
Beckford	ベックフォード
Beckham	ベッカム
Beckles	ベックルズ
Beckley	ベックリー
Beckwith	ベックウィズ
Beddoe	ベドー
Bedford	ベッドフォード
Beecham	ビーチャム
Belew	ブリュー
Bell	ベル
Bellamy	ベラミー
Bellnap	ベルナップ
Benfield	ベンフィールド
Benjamin	ベンジャミン
Bennett	ベネット
Bennington	ベニントン
Benson	ベンソン
Bent	ベント
Bentham	ベンサム
Bentley	ベントリー
Beresford	ベレスフォード
Bergin	バーギン
Bergson	バーグソン
Berkeley	バークリー
Berkley	バークリー
Berners	バーナーズ
Berry	ベリー
Berufort	ボーフォート
Besant	ベサント
Bessemer	ベッセマー
Best	ベスト
Bettany	ベッタニー、ベタニー
Bevan	ベヴァン
Beverley	ビヴァリー
Beverly	ビヴァリー
Bevin	ベヴィン
Beynon	ベイノン
Bigod	バイゴッド
Billingham	ビリンガム
Bimiller	バイミラー
Bingham	ビンガム
Bingley	ビングリー
Bird	バード
Birkin	バーキン
Birley	バーリー
Birtwistle	バートウィッスル
Bishop	ビショップ
Bixby	ビクスビー
Black	ブラック
Blackburn	ブラックバーン
Blackman	ブラックマン
Blackmore	ブラックモア
Blackstone	ブラックストン
Blackwell	ブラックウェル
Blackwood	ブラックウッド
Blagden	ブラグデン
Blain	ブレイン
Blair	ブレア
Blake	ブレイク
Blakeley	ブレイクリー、ブレークリー
Blaze	ブレイズ
Blethyn	ブレッシン
Bliss	ブリス
Blow	ブロウ
Blythe	ブライス
Blyther	ブライサー
Blyton	ブライトン
Board	ボード
Bogard	ボガード
Bohun	ブーン
Boldwin	ボールドウィン
Boleyne	ブーリン
Bolger	ボルジャー
Bollan	ボラン
Bolton	ボルトン
Bonar	ボナー
Bond	ボンド
Bonham	ボーナム
Bonnet	ボネット
Boore	ブーア
Booth	ブース
Borman	ボーマン
Borrow	ボロー、ボロウ
Bott	ボット
Boucher	バウチャー
Boughton	ボートン
Boult	ボールト
Bound	バウンド
Bourne	ボーン
Bousfield	バウスフィールド
Bowe	ボウ
Bowen	ボウエン、ボーウェン
Bower	バウアー
Bowles	ボウルズ
Bowman	ボウマン
Bowyer	ボウヤー
Boxer	ボクサー
Boyce	ボイス
Boyd	ボイド
Boydell	ボイデル
Boyett	ボイエット
Boyle	ボイル
Brackley	ブラックリー
Bradburn	ブラッドバーン
Bradford	ブラッドフォード
Bradlaugh	ブラッドロー
Bradley	ブラッドリー
Bradshaw	ブラッドショー
Bradwell	ブラドル
Brady	ブレイディ
Bragg	ブラッグ
Braham	ブレアム
Brain	ブレイン
Branagh	ブラナー
Brandner	ブランドナー
Branson	ブランソン
Braose	ブロウズ
Braun	ブローン
Brawn	ブロウン、ブローン
Brayham	ブレイアム
Brazier	ブレイジャー
Brealey	ブレーリー
Bream	ブリーム
Breen	ブリーン
Breese	ブリース
Breeze	ブリーズ
Brembre	ブレンバ
Brenan	ブレナン
Brennan	ブレナン
Brett	ブレット
Brewster	ブルースター
Brice	ブライス
Brick	ブリック
Bridge	ブリッジ
Bridges	ブリッジズ
Briers	ブライアーズ
Brightman	ブライトマン
Brighton	ブライトン
Brightwell	ブライトウェル
Brindle	ブリンドル
Brinkley	ブリンクリー
Brinton	ブリントン
Bristol	ブリストル
Britten	ブリテン
Broadbent	ブロードベント
Broadhurst	ブロードハースト
Brock	ブロック
Brocklebank	ブロックルバンク
Broderick	ブロデリック
Brodrick	ブロドリック
Bromley	ブロムリー
Bronson	ブロンソン
Brook	ブルック
Brooke	ブルック
Brooks	ブルックス
Brophy	ブロフィー
Broughton	ブロウトン
Brown	ブラウン
Browne	ブラウン
Browning	ブラウニング
Bruce	ブルース
Bruford	ブルフォード（ブラッフォード）
Brunning	ブラニング
Bruton	ブルートン
Bryant	ブライアント
Bryce	ブライス
Buchanan	ブキャナン
Buckingham	バッキンガム
Buckland	バックランド
Buckle	バックル
Buckley	バックリー
Budd	バッド
Bugg	バッグ
Buggy	バギー
Bull	ブル
Bullock	ブロック
Bunbury	バンバリー
Bunch	バンチ
Burden	バーデン
Burgess	バージェス
Burke	バーク
Burkitt	バーキット
Burleigh	バーレイ
Burnett	バーネット
Burns	バーンズ
Burr	バー
Burrell	バレル
Burris	バーリス
Burroughs	バロウズ、バローズ
Burrows	バロウズ、バローズ
Burt	バート
Burton	バートン
Busby	バズビー
Bush	バッシュ
Bussell	バッセル
Butler	バトラー
Butterfield	バターフィールド
Byatt	バイアット
Byrd	バード
Byrne	バーン
Byron	バイロン
Cabot	キャボット
Cadbury	キャドバリー、カドバリー
Cade	ケード
Cadogan	カドガン
Cage	ケイジ、ケージ
Cahill	ケイヒル
Caine	ケイン
Caird	ケアード
Calder	カルダー
Caldwell	コールドウェル
Callaghan	キャラハン
Callow	キャロウ
Calvert	カルヴァート
Cambell	キャンベル
Camden	カムデン、キャムデン
Cameron	キャメロン、カメロン
Campbell	キャンベル
Campian	キャンピアン
Campion	キャンピオン
Camps	キャンプス
Cannadine	キャナダイン
Canning	カニング
Card	カード
Cardiff	カーディフ
Carey	ケアリー、キャリー
Carleton	カールトン
Carlin	カーリン
Carlisle	カーライル
Carlton	カールトン
Carlyle	カーライル
Carnall	カーナル
Carnegie	カーネギー
Carr	カー
Carrack	カラック、キャラック
Carrington	キャリントン
Carrol	キャロル、カロル
Carroll	キャロル
Carson	カーソン
Carter	カーター
Cartlidge	カートリッジ
Cartpenter	カーペンター
Cartwright	カートライト
Carvel	カーヴェル
Carvell	カーヴェル
Cary	ケアリー
Case	ケイス、ケース
Casey	ケイシー
Cashman	キャッシュマン
Cassells	カッセルズ
Cattermole	キャターモール
Cattrall	カトラル
Cavendish	キャヴェンディッシュ
Cavill	カヴィル
Caxton	キャクストン
Cayford	ケイフォード
Cayley	ケーリー
Cecil	セシル
Chad	チャド
Challis	チャリス
Chamberlain	チェンバレン
Chambers	チェンバーズ
Chandler	チャンドラー
Chapman	チャップマン
Charlton	チャールトン
Charnley	チャーンリー
Chatwin	チャットウィン
Chaucer	チョーサー
Chauncey	チャンシー
Cheers	チアーズ
Chenoweth	チェノウェス
Cheshire	チェシャー
Chesterton	チェスタートン
Chichester	チチェスター
Child	チャイルド
Childs	チャイルズ
Chipchase	チップチェイス
Christie	クリスティ
Church	チャーチ
Churchill	チャーチル
Citrine	シトリン
Clackson	クラックソン
Clapton	クラプトン
Clark	クラーク
Clarke	クラーク
Clay	クレイ
Clayton	クレイトン
Cleaves	クリーヴズ
Cleese	クリーズ
Clegg	クレッグ
Cleland	クレランド
Cleobury	クリーバリー
Clerihew	クレリヒュー
Cleveland	クリーヴランド
Cleverley	クレヴァリー
Clifford	クリフォード
Clifton	クリフトン
Clinton	クリントン
Clive	クライヴ
Close	クローズ
Clough	クロフ
Coates	コーツ
Cobbett	コベット
Cockburn	コバーン、コウバーン
Cocker	コッカー
Codd	コッド
Coen	コーエン
Coffey	コフィ
Colbourne	コルボーン
Cole	コール
Coleman	コールマン
Coleridge	コールリッジ
Coles	コールズ
Colet	コレット
Colkett	コルケット
Colledge	カレッジ
Collett	コレット
Colley	コリー
Collier	コリアー
Collins	コリンズ
Collinson	コリンソン
Colman	コールマン
Colquhoun	コフーン
Colyer	コリアー
Comerford	カマーフォード
Comyn	カミン
Conaghan	コナハン
Condren	コンドレン
Coney	コニー
Conlon	コンロン
Connelly	コネリー
Connery	コネリー
Connick	コニック
Connolly	コノリー
Connor	コナー
Conquest	コンクエスト
Conrad	コンラッド
Conroy	コンロイ
Considine	コンシダイン
Coogan	クーガン
Cook	クック
Cooke	クック
Coomes	クームズ
Cooper	クーパー
Cope	コープ
Copland	コープランド
Coppard	コッパード
Copperfield	コパーフィールド
Corbett	コーベット
Cork	コーク
Cormack	コーマック
Cornell	コーネル
Cornes	コーンズ
Cornish	コーニッシュ
Cornwell	コーンウェル
Corrie	コーリー
Corrigan	コリガン
Coughlin	コフリン
Coulfield	コールフィールド
Coulson	クールソン
Coulthard	コルトハード、クルサード
Court	コート
Courtenay	コートネイ
Cousins	カズンズ
Coverdale	カヴァデイル、カヴァーディル
Covington	コヴィントン
Cowan	カウワン
Coward	カワード
Cowen	カウエン、コーウェン
Cowley	カウリー
Cowling	カウリング
Cowper	カウパー
Cox	コックス
Coxon	コクソン
Craig	クレイグ
Craine	クレイン
Cram	クラム
Crammer	クランマー
Crane	クレイン
Craven	クレイヴン
Crawford	クロフォード
Creagh	クレイ
Creighton	クライトン
Crenshaw	クレンショー
Crewe	クルー
Crewes	クルーズ
Cripps	クリップス
Crocker	クロッカー
Crockford	クロックフォード
Croft	クロフト
Crofts	クロフツ
Croke	クローク
Crompton	クロンプトン
Cromwell	クロムウェル
Cronnelly	クロネリー
Crook	クルック
Crosbie	クロズビー
Crossley	クロスリー
Crowdey	クラウディー
Crowe	クロウ
Crowley	クロウリー
Crowther	クラウザー
Croydon	クロイドン
Cruikshank	クルックシャンク
Crumb	クラム
Crystal	クリスタル
Cullen	カレン
Cumberbatch	カンバーバッチ
Cunningham	カニンガム、カニングハム
Currie	カーリー
Curry	カリー
Curtis	カーティス
Curzon	カーゾン
Cushing	カッシング
Cuthbertson	カスバートソン
Cutter	カッター
d'Arcy	ダーシー
Daines	デインズ
Daisley	ディズリー
Dale	デイル
Daley	デイリー
Dallimore	ダリモア
Dalton	ダルトン
Daltrey	ダルトリー
Damon	デイモン、デーモン
Dane	デイン
Danes	デーンズ
Daniel	ダニエル
Danvers	ダンヴァーズ
Darling	ダーリング
Darwin	ダーウィン
Dashwood	ダッシュウッド
Davenport	ダヴェンポート
Davidson	デヴィッドソン
Davies	デイヴィーズ
Davis	デイヴィス
Davison	デイヴィソン
Davy	デイヴィー
Dawson	ドーソン
Day	デイ
Deacon	ディーコン
Deakin	ディーキン
Deamer	ディーマー
Dean	ディーン
Decker	デッカー
Deighton	デイトン
Dekker	デッカー
Delaney	デレイニー、ダレイニー
Delany	デラニー
Demery	デミリー
Dempsey	デンプシー
Dench	デンチ
Denham	デナム
Dennett	デネット
Dennis	デニス
Denny	デニー
Derby	ダービー
Derbyshire	ダービーシャー
Desmond	デズモンド
Devlin	デヴリン
Devonish	デヴォニッシュ
Dew	デュー
Dewar	デュアー
Dewey	デューイ
Dexter	デクスター
Dickens	ディケンズ
Dickinson	ディッキンソン
Dickson	ディクソン
Dilke	ディルク
Dill	ディル
Dillon	ディロン
Dimbleby	ディンブルビー
Dineley	ダインリー
Dingley	ディングリー
Dirac	ディラック
Diskin	ディスキン
Disley	ディズリー
Dixon	ディクソン
Dobson	ドブソン
Dockrill	ドクリル、ドックリル
Dodgson	ドッジソン、ドジソン
Doherty	ドハティ、ドーハティ
Dolan	ドラン
Donaghy	ドナフィー
Donaldson	ドナルドソン
Donne	ダン
Donnellon	ドネロン
Donnelly	ドネリー
Donovan	ドノヴァン
Douglas	ダグラス
Dowdall	ダウダル
Dowdeswell	ダウズウェル
Dowding	ダウディング
Dowell	ダウエル
Dowland	ダウランド
Dowling	ダウリング
Downer	ダウナー
Downes	ダウンズ
Downing	ダウニング
Dowson	ダウソン
Doyle	ドイル
Drabble	ドラブル
Drake	ドレイク、ドレーク
Dransfield	ドランスフィールド
Draper	ドレイパー
Drewett	ドリューウェット
Driscoll	ドリスコル
Driver	ドライヴァー
Druitt	ドゥルイット
Drummond	ドラモンド
Duckworth	ダックワース
Dudley	ダドリー
Duff	ダフ
Duffield	ダフィールド
Duffy	ダフィ
Dumville	ダンヴィル
Dunbar	ダンバー
Duncan	ダンカン
Dunford	ダンフォード
Dunhill	ダンヒル
Dunleavy	ダンリーヴィー
Dunlop	ダンロップ
Dunn	ダン
Dunning	ダニング
Dunstable	ダンスタブル
Durrell	ダレル
Dyer	ダイアー
Dyson	ダイソン
Eagle	イーグル
Eagleton	イーグルトン
Ealdred	エアルドレッド
Eames	イームズ
Earhart	エアハート
Easdale	イーズデイル、イースデイル
Easterbrook	イースターブルック
Easton	イーストン
Eaton	イートン
Eccles	エックルズ
Eccleston	エクルストン
Eckert	エッカート
Eddington	エディントン
Eddison	エディスン
Eddowes	エドウズ
Eden	イーデン
Edge	エッジ
Edgeworth	エッジワース
Edison	エディソン
Edkins	エドキンズ
Edmonds	エドモンズ
Edmundson	エドマンドソン
Edney	エドニー
Edwards	エドワーズ
Edwin	エドウィン
Effinger	エフィンジャー
Egan	イーガン
Eggar	エッガー
Eggleston	エグルストン
Eggleton	エグルトン
Eklund	エクランド
Eldon	エルドン
Eldred	エルドレッド
Eley	イーリー
Elgar	エルガー
Elgin	エルギン
Eliot	エリオット
Elkin	エルキン
Ellington	エリントン
Elliot	エリオット
Elliott	エリオット
Ellis	エリス
Ellison	エリソン
Ellsberg	エルズバーグ
Ellwood	エルウッド
Elman	エルマン
Elmes	エルムズ
Elphinstone	エルフィンストーン
Elton	エルトン
Elwes	エルウィズ
Ely	イーリイ
Embrey	エンブリー
Embury	エンベリー
Emerson	エマーソン
Emery	エメリー
Emmet	エメット
Enfield	エンフィールド
England	イングランド
Englefield	エングルフィールド
English	イングリッシュ
Ennis	エニス
Entwistle	エントウィッスル
Erikson	エリクソン
Erskine	アースキン
Esmond	エズモンド
Etchison	エチスン
Etheridge	エサリッジ
Etherington	エザリントン
Evans	エヴァンズ
Evarts	エヴァーツ
Evatt	エヴァット
Eveleigh	エヴェリー
Everest	エヴェレスト
Everett	エヴァレット
Ewing	ユーイング
Fairchild	フェアチャイルド
Fairclough	フェアクロフ
Fairfield	フェアフィールド
Falconer	ファルコナー
Fallon	ファロン
Faraday	ファラデー
Farar	ファラー
Farber	ファーバー
Farley	ファーリー
Farnaby	ファーナビー
Farnham	ファーナム
Farnon	ファーノン
Farquhar	ファーカー
Farrell	ファレル
Farrington	ファリントン
Faulcon	フォールコン
Fayrfax	フェアファクス
Fearon	フィアロン
Featherstonehaugh	ファンショー
Fee	フィー
Felton	フェルトン
Fennelly	フェネリー
Ferguson	ファーガソン
Ferrar	フェラー
Ferris	フェリス
Ferry	フェリー
Fetherston	フェザーストン
Field	フィールド
Fielding	フィールディング
Fiennes	ファインズ
Figgis	フィギス
Finch	フィンチ
Findlay	フィンドレイ
Finlay	フィンリー
Finley	フィンリー
Firestone	ファイアストン
Firobisher	フィーロビッシャー
Firth	ファース
Fishburne	フィッシュバーン
Fisher	フィッシャー
FitzClarence	フィッツクラレンス
FitzGerald	フィッツジェラルド
FitzMaurice	フィッツモーリス
FitzPatrick	フィッツパトリック
FitzRoy	フィッツロイ
FitzSimmons	フィッツシモンズ
FitzSimons	フィッツシモンズ
Flaherty	フラハティ
Flamsteed	フラムスティード
Flecker	フレッカー
Fleetwood	フリートウッド
Fleming	フレミング
Flemyng	フレミング
Fletcher	フレッチャー
Flint	フリント
Flockhart	フロックハート
Florence	フロレンス、フローレンス
Florey	フローリー
Follett	フォレット
Foot	フット
Forbes	フォーブズ
Ford	フォード
Forester	フォレスター
Forgus	フォーガス
Forster	フォースター
Forsyth	フォーサイス
Fortescue	フォーテスキュー
Fortune	フォーチュン
Foster	フォスター
Foulds	フォウルズ、フォールズ
Fowler	ファウラー
Fowles	ファウルズ
Fox	フォックス
Frampton	フランプトン
Francis	フランシス
Franklin	フランクリン
Fraser	フレーザー
Freeman	フリーマン
Freemantle	フリーマントル
Friday	フライデイ
Friel	フリエル
Fripp	フリップ
Frost	フロスト
Froude	フルード
Fry	フライ
Fugler	フーグラー
Fuller	フラー
Fullerton	フラトン
Furnivall	ファーニヴァル
Gage	ゲージ
Gahan	ガーン
Gainsborough	ゲーンズボロ
Gaitskell	ゲートスケル
Galbraith	ギャルブレイス、ガルブレイス
Gale	ゲイル
Gallagher	ギャラガー、ガラハー
Galloway	ギャロウェイ
Galsworthy	ゴールズワージー
Galton	ゴールトン
Galvin	ギャルヴィン
Galway	ゴールウェイ
Garber	ガーバー
Gardener	ガードナー
Gardiner	ガーディナー
Gardner	ガードナー
Garfield	ガーフィールド
Garland	ガーランド
Garnet	ガーネット
Garnett	ガーネット
Garrett	ギャレット
Garson	ガースン
Gascoigne	ガスコイン
Gascoyne	ガスコイン
Gaster	ガスター
Gatiss	ゲイティス
Gaveston	ギャヴィストン
Gawley	ガウリー、ギャウリー
Gay	ゲイ
Gayson	ゲイソン
Gazzard	ガザード
Gee	ジー
George	ジョージ
Geraghty	ゲラティ
German	ジャーマン
Gettens	ゲッテンズ
Gibbins	ギビンズ
Gibbon	ギボン
Gibbons	ギボンズ
Gibbs	ギブス
Gibney	ギブニー
Gibson	ギブソン
Giddens	ギデンズ
Gielgud	ギルグッド、ギールグッド
Giles	ジャイルズ
Gillan	ギラン
Gillett	ギレット
Gillings	ギリングズ
Gilmartin	ギルマーティン
Gilmore	ギルモア
Gilmour	ギルモア
Gilthorpe	ギルソープ
Gimson	ギムソン
Girtin	ガーティン
Gissing	ギッシング
Gladstone	グラッドストン
Glasspool	グラスプール
Gleeson	グリーソン
Glen	グレン
Glover	グローヴァー
Goddard	ゴダード
Godolphin	ゴドルフィン
Godrich	ゴッドリッチ
Godwin	ゴドウィン
Golbourn	ゴルボーン
Goldberg	ゴールドバーグ
Golding	ゴールディング
Goldsmith	ゴールドスミス
Goldsworthy	ゴールズワージー
Golledge	ゴレッジ
Gooch	グーチ
Goodall	グッドオール
Goode	グッド
Goodfellow	グッドフェロー
Goodgame	グッドゲーム
Goodwin	グッドウィン
Gordon	ゴードン
Gore	ゴア
Gorham	ゴーラム
Gorry	ゴーリー
Gorton	ゴートン
Gosling	ゴスリング
Goss	ゴス
Gough	ガフ
Goulding	ゴールディング
Gower	ガワー、ガウアー
Grady	グレイディ
Grafton	グラフトン
Graham	グレアム、グレイアム
Grant	グラント
Granville	グランヴィル
Graves	グレイヴズ
Gray	グレイ
Green	グリーン
Greenaway	グリーナウェイ
Greenbury	グリーンバリー
Greene	グリーン
Greenfield	グリーンフィールド
Greenhalgh	グリーンハルシュ、グリーンハルジュ
Greenhough	グリーンハウ
Greening	グリーニング
Greenwood	グリーンウッド
Gregory	グレゴリー
Gregson	グレグソン
Grenfell	グレンフェル
Grennell	グレネル
Grenville	グレンヴィル
Gresham	グレシャム
Grewcock	グルーコック
Grey	グレイ、グレー
Grierson	グリアーソン
Griffin	グリフィン
Griffith	グリフィス
Griffiths	グリフィス
Grindey	グラインディー
Grint	グリント
Grocyn	グロシン
Grosseteste	グローステスト
Grove	グローヴ
Groves	グローヴズ
Gruber	グルーバー
Guest	ゲスト
Guiness	ギネス
Guinness	ギネス
Guises	ギーズ
Gulbenkian	グルベンキアン
Gunn	ガン
Gunnell	ガネル
Gunter	ガンター
Guthrie	ガスリー
Gutteridge	ガターリッジ
Guyler	ガイラー
Gwatkin	グワトキン
Gwilt	グウィルト
Gwyn	グウィン
Gyle	ガイル
Hack	ハック
Hacker	ハッカー
Hackman	ハックマン
Haddock	ハドック
Haddon	ハッドン
Hadley	ハドリー
Haggard	ハガード
Hailey	ヘイリー
Haines	ヘインズ
Hainsby	ヘインズビー
Haldane	ホールデン、ホールデイン
Hale	ヘイル
Hales	ヘールズ
Haley	ヘイリー
Halford	ハルフォード
Hall	ホール
Halley	ハリー
Halliday	ハリディ
Hallows	ハロウズ、ハローズ
Halmshaw	ハルムショー
Halsall	ハルソール、ホルソール
Hambling	ハンブリング
Hamer	ヘイマー
Hamerton	ハマートン
Hamilton	ハミルトン
Hammerton	ハマートン
Hammond	ハモンド
Hampson	ハンプソン
Hampton	ハンプトン
Hancock	ハンコック
Hand	ハンド
Hanks	ハンクス
Hanretty	ヘンレッティ
Hanson	ハンソン
Hansson	ハンセン
Harcourt	ハーコート
Hardcastle	ハードキャッスル
Harding	ハーディング
Hardstaff	ハードスタッフ
Hardy	ハーディ、ハーディー
Hare	ヘア
Hargin	ハーギン
Hargreaves	ハーグリーヴズ
Harington	ハリントン
Harlow	ハーロウ、ハーロー
Harmsworth	ハームズワース
Harness	ハーネス
Harper	ハーパー
Harries	ハリーズ
Harrington	ハリントン
Harris	ハリス
Harrison	ハリスン、ハリソン
Hart	ハート
Hartfield	ハートフィールド
Hartley	ハートリー
Hartnett	ハートネット
Hartshorne	ハーツホーン
Harvey	ハーヴィー（ハーヴェイ）
Haskell	ハスケル
Haslam	ハズラム
Hasluck	ハズラック
Hastings	ヘイスティングズ
Haswell	ハズウェル
Hatcher	ハッチャー
Hathaway	ハサウェイ
Hatson	ハストン
Hatton	ハットン
Hauksbee	ホークスビー
Haviland	ハヴィランド
Hawken	ホーケン
Hawkey	ホーキー
Hawkins	ホーキンズ
Hawkyard	ホークヤード
Hawley	ホーリー
Haworth	ハワース
Hawthorne	ホーソーン
Hawtrey	ホートリー
Hay	ヘイ
Hayden	ヘイデン
Hayes	ヘイズ
Haynes	ヘインズ
Hays	ヘイズ
Haythornthwaite	ヘイソーンスウェイト
Hayward	ヘイワード
Haywood	ヘイウッド
Hazeldine	ヘーゼルダイン
Hazell	ヘイゼル、ハイゼル
Headley	ヘッドリー
Healy	ヒーリー
Heartfield	ハートフィールド
Heasman	ヒーズマン
Heath	ヒース
Heathcoat	ヒースコート
Heather	ヘザー
Heatley	ヒートリー
Heaviside	ヘヴィサイド
Hegarty	ヘガティ
Helson	ヘルソン
Henderson	ヘンダーソン
Henfrey	ヘンフリー
Henman	ヘンマン
Hennig	ヘニング
Henrit	ヘンリット
Henry	ヘンリー
Henryson	ヘンリソン
Henshall	ヘンシャル
Hensley	ヘンズリー
Henwood	ヘンウッド
Hepburn	ヘップバーン、ヘプバーン
Herbert	ハーバート
Herriot	ヘリオット
Herschel	ハーシェル
Hervey	ハーヴィー
Hession	ヘッション
Heston	ヘストン
Hetherington	ヘザリントン
Hewitt	ヒューイット
Heyes	ヘイズ
Heywood	ヘイウッド
Hibbert	ヒバート
Hickey	ヒッキー
Hicks	ヒックス
Hicky	ヒッキー
Higginbotham	ヒギンボトム
Higgins	ヒギンズ
Hill	ヒル
Hilton	ヒルトン
Hinchcliffe	ヒンチクリフ
Hinckley	ヒンクリー
Hinkley	ヒンクリー
Hinshelwood	ヒンシェルウッド
Hinsley	ヒンズリー
Hiscock	ヒスコック
Hitchcock	ヒッチコック
Hitchens	ヒッチンズ
Hitchon	ヒチョン
Hoare	ホア、ホー
Hodge	ホッジ
Hodges	ホッジズ
Hodgkinson	ホジキンソン
Hoffman	ホフマン
Hogan	ホーガン
Hogarth	ホガース
Holbein	ホルバイン
Holborne	ホルボーン
Holbrooke	ホルブルック
Holden	ホールデン
Holdsworth	ホールズワース
Holles	ホーリス
Hollingworth	ホリングワース
Holloway	ホロウェイ
Holmes	ホームズ
Holst	ホルスト
Holyland	ホーリーランド
Home	ヒューム
Honeyball	ハニーボール
Hooker	フーカー
Hooper	フーパー
Hopkins	ホプキンズ
Hopkinson	ホプキンソン
Hopper	ホッパー
Horgan	ホーガン
Hornby	ホーンビー
Hornsby	ホーンズビー
Horsewood	ホースウッド
Horwood	ホーウッド
Hoskins	ホスキンズ
Houghton	ハウトン
Household	ハウスホールド
Housman	ハウスマン
Houston	ヒューストン
Howard	ハワード
Howe	ハウ
Howell	ハウエル
Howells	ハウエルズ
Howitt	ハウイット
Hoyle	ホイル
Hubbard	ハバード
Huddleston	ハドルストン
Hudson	ハドソン、ハドスン
Huffington	ハフィントン
Hughes	ヒューズ
Hull	ハル
Hulme	ヒューム
Hume	ヒューム
Humfrey	ハンフリー
Humphreys	ハンフリーズ
Humphries	ハンフリーズ
Humphry	ハンフリー
Hungate	ハンゲイト
Hunt	ハント
Hunte	ハント
Hunter	ハンター
Huntington	ハンティントン
Hurd	ハード
Hurley	ハーリー
Hustler	ハスラー
