Abbie	アビー
Hilda	ヒルダ
Hillary	ヒラリー
Holly	ホリー
Irene	アイリーン
Iris	アイリス
Isabel	イザベル
Isadora	イザドラ、イザドーラ
Ivy	アイヴィー
Jackie	ジャッキー
Jacqueline	ジャクリーン
Jade	ジェイド
Jaime	ジェイミー
Jamie	ジェイミー
Jane	ジェーン
Janet	ジャネット
Janice	ジャニス
Janie	ジェイニー
Jasmin	ジャスミン
Jasmine	ジャスミン
Jean	ジーン
Jeanette	ジャネット
Jeannie	ジーニー
Jenna	ジェナ
Jennie	ジェニー
Jennifer	ジェニファー
Jenny	ジェニー
Jessica	ジェシカ
Jessie	ジェシー
Joan	ジョーン
Joann	ジョアン
Joanna	ジョアンナ、ジョアナ
Joanne	ジョアン
Jocelyn	ジョスリン
Jodie	ジョディー
Jody	ジョディー
Johanna	ジョハンナ、ジョハナ
Jordan	ジョーダン
Josephine	ジョゼフィン、ジョセフィン
Joyce	ジョイス
Judith	ジュディス
Judy	ジュディ
Julia	ジュリア
Juliana	ジュリアナ
Julianne	ジュリアン
Julie	ジュリー
Juliet	ジュリエット
Juliette	ジュリエット
June	ジューン
Justina	ジャスティーナ
Justine	ジャスティーン
Karen	カレン
Karly	カーリー
Kate	ケイト
Katherine	キャサリン、キャスリン
Kathleen	キャスリーン
Kathryn	キャスリン
Kathy	キャシー
Katie	ケイティ
Katrina	カトリーナ
Kay	ケイ
Kaylee	ケイリー
Kayleigh	ケイリー
Keeley	キーリー
Kelly	ケリー
Kim	キム
Kimberly	キンバリー
Kitty	キティ
Kristin	クリスティン
Kyla	カイラ
Laila	レイラ
Lana	ラナ
Lara	ララ
Laura	ローラ
Laurel	ローレル
Lauren	ローレン
Laurie	ローリー
Layla	レイラ
Leah	リア、レア
Leila	レイラ
Leonora	リオノーラ、レオノーラ
Leslie	レスリー、レズリー
Leyla	レイラ
Libby	リビー
Lila	ライラ
Lillian	リリアン
Lily	リリー
Linda	リンダ
Lindsay	リンジー
Lindsey	リンジー
Lisa	リサ
Lola	ローラ
Loretta	ローレッタ、ロレッタ
Lorna	ローナ
Lottie	ロッティ
Louisa	ルイザ、ルイサ
Louise	ルイーズ
Lucia	ルシア、ルーシャ
Lucille	ルシール
Lucinda	ルシンダ
Lucy	ルーシー
Lydia	リディア
Lyla	ライラ
Lynette	リネット
Mabel	メイベル、メーベル
Madeleine	マドリーン
Madeline	マドリン、マドライン
Madelyn	マドリン、マデリン
Maisie	メイジー
Malvina	マルヴィナ
Marcia	マーシア、マーシャ
Margaret	マーガレット
Margery	マージェリー
Margot	マーゴ、マーゴット
Maria	マリア
Mariah	マライア
Marian	マリアン
Marianne	マリアン
Marie	マリー
Marilyn	マリリン
Marion	マリオン
Marjorie	マージョリー
Marlene	マーリーン
Martha	マーサ
Martina	マーティナ
Mary	メアリー、マリー
Mathilda	マティルダ
Matilda	マティルダ
Maureen	モーリーン
Mavis	メイヴィス、メーヴィス
Maxine	マクシーン
May	メイ
Melanie	メラニー
Melinda	メリンダ
Melissa	メリッサ
Melody	メロディ
Mercedes	マーセイディズ
Mercy	マーシー
Meredith	メレディス
Mia	ミア
Michaela	ミキャエラ
Michele	ミッシェル
Michelle	ミッシェル
Mildred	ミルドレッド
Mina	マイナ
Minnie	ミニー
Mirabel	ミラベル
Mirabelle	ミラベル
Miranda	ミランダ
Miriam	ミリアム
Moira	モイラ
Mollie	モリー
Molly	モリー
Monica	モニカ
Monique	モニーク
Morgan	モーガン
Muriel	ミュリエル
Myra	マイラ
Nadia	ナディア
Nadine	ナディーン
Nancy	ナンシー
Naomi	ネイオミ（ナオミ）
Natalia	ナタリア
Natalie	ナタリー
Nell	ネル
Nellie	ネリー
Nelly	ネリー
Nichola	ニコラ
Nichole	ニコール
Nicola	ニコラ
Nicole	ニコール
Nina	ニーナ
Noelle	ノエル
Nora	ノーラ
Noreen	ノーリーン
Norma	ノーマ
Olive	オリーヴ
Olivia	オリヴィア
Ophelia	オフィーリア、オーフェリア
Oriana	オリアーナ
Pamela	パメラ
Pansy	パンジー
Pat	パット
Patrice	パトリス
Patricia	パトリシア
Patsy	パッツィー
Patty	パティ
Paula	ポーラ
Paulina	ポーリーナ
Pauline	ポーリーン
Pearl	パール
Penelope	ペネロピ
Philippa	フィリッパ
Phoebe	フィービー
Phyllis	フィリス
Polly	ポリー
Priscilla	プリシラ
Rachel	レイチェル
Ramona	ラモーナ
Rebecca	レベッカ
Regina	レジーナ
Rita	リタ
Roberta	ロバータ
Robin	ロビン
Romy	ロミー
Rosa	ローザ
Rosanne	ロザーン
Rose	ローズ
Rosemary	ローズマリー
Rosie	ロージー
Ruby	ルビー
Ruth	ルース
Sabrina	サブリーナ
Sadie	セイディ
Sally	サリー
Sam	サム
Samantha	サマンサ
Sandra	サンドラ
Sandy	サンディー
Sara	サラ、セアラ
Sarah	サラ、セアラ
Savannah	サヴァナ、サヴァンナ
Scarlett	スカーレット
Selina	セリーナ
Selma	セルマ
Seraphina	セラフィーナ
Serena	セリーナ
Shannon	シャノン
Sharon	シャロン
Shauna	ショーナ
Sheila	シーラ
Sherry	シェリー
Shirley	シャーリー
Sibyl	シビル
Sidney	シドニー
Sonia	ソニア
Sophia	ソフィア
Sophie	ソフィー
Stacy	ステイシー
Stella	ステラ
Stephanie	ステファニー
Susan	スーザン
Susanna	スザンナ
Susie	スージー
Sybil	シビル
Sylvia	シルヴィア
Tabatha	タバサ
Tabitha	タビサ
Tamara	タマーラ
Tammy	タミー
Tara	ターラ
Terry	テリー
Thelma	セルマ
Theodora	シオドーラ、セオドーラ
Theresa	テリーサ
Tiffany	ティファニー
Tina	ティナ
Tracy	トレイシー、トレーシー
Ursula	アーシュラ、アーサラ
Valerie	ヴァレリー
Vanessa	ヴェネッサ
Vera	ヴェラ
Veronica	ヴェロニカ
Victoria	ヴィクトリア
Viola	ヴィオラ
Violet	ヴァイオレット
Virginia	ヴァージニア
Vivian	ヴィヴィアン
Vivienne	ヴィヴィアン
Wanda	ワンダ
Wendy	ウェンディ
Wilhelmina	ウィレミナ
Yolanda	ヨランダ
Yvette	イヴェット
Yvonne	イヴォン、イヴォーン
Zara	ザラ
Zoe	ゾーイ
